Code,Stock,Type,Theoretical Quantity,Segment Area,Segment Code,Segment Name
PTBL3,PORTOBELLO,ON NM,66269176,Segments and Sectors,INDX,BM&FBOVESPA Industrials Index (INDX)
POSI3,POSITIVO TEC,ON NM,78053723,Segments and Sectors,INDX,BM&FBOVESPA Industrials Index (INDX)
RAPT4,RANDON PART,PN N1,177628801,Segments and Sectors,INDX,BM&FBOVESPA Industrials Index (INDX)
TASA4,TAURUS ARMAS,PN N2,62034762,Segments and Sectors,INDX,BM&FBOVESPA Industrials Index (INDX)
TUPY3,TUPY,ON NM,67547494,Segments and Sectors,INDX,BM&FBOVESPA Industrials Index (INDX)
WEGE3,WEG,ON NM,1484859030,Segments and Sectors,INDX,BM&FBOVESPA Industrials Index (INDX)
AMBP3,AMBIPAR,ON NM,43854659,Segments and Sectors,UTIL,BM&FBOVESPA Public Utilities Index (UTIL)
SBSP3,SABESP,ON NM,340001934,Segments and Sectors,UTIL,BM&FBOVESPA Public Utilities Index (UTIL)
SAPR11,SANEPAR,UNT N2,201076373,Segments and Sectors,UTIL,BM&FBOVESPA Public Utilities Index (UTIL)
ALSO3,ALIANSCSONAE,ON NM,126260263,Segments and Sectors,IMOB,BM&FBOVESPA Real Estate Index (IMOB)
BBRK3,BR BROKERS,ON NM,77941395,Segments and Sectors,IMOB,BM&FBOVESPA Real Estate Index (IMOB)
BRML3,BR MALLS PAR,ON NM,843728684,Segments and Sectors,IMOB,BM&FBOVESPA Real Estate Index (IMOB)
BRPR3,BR PROPERT,ON NM,187579163,Segments and Sectors,IMOB,BM&FBOVESPA Real Estate Index (IMOB)
IGTA3,IGUATEMI,ON NM,85748277,Segments and Sectors,IMOB,BM&FBOVESPA Real Estate Index (IMOB)
JPSA3,JEREISSATI,ON,34771251,Segments and Sectors,IMOB,BM&FBOVESPA Real Estate Index (IMOB)
LOGG3,LOG COM PROP,ON NM,59190591,Segments and Sectors,IMOB,BM&FBOVESPA Real Estate Index (IMOB)
LPSB3,LOPES BRASIL,ON NM,114874308,Segments and Sectors,IMOB,BM&FBOVESPA Real Estate Index (IMOB)
