IGCX - Current Portfolio Composition 09/17/21
Code,Stock,Type,Theoretical Quantity,Part. (%)
TGMA3,TEGMA,ON      NM,64002960,0.024,
TEND3,TENDA,ON      NM,192279032,0.082,
LAND3,TERRASANTAPA,ON      NM,61117328,0.023,
TIMS3,TIM,ON      NM,1617239064,0.439,
SHOW3,TIME FOR FUN,ON      NM,68969878,0.008,
TOTS3,TOTVS,ON      NM,961921354,0.829,
TFCO4,TRACK FIELD,PN      N2,81361806,0.029,
TRPL3,TRAN PAULIST,ON      N1,27080900,0.019,
TRPL4,TRAN PAULIST,PN      N1,395797044,0.220,
TRIS3,TRISUL,ON      NM,166451252,0.028,
TPIS3,TRIUNFO PART,ON      NM,148474466,0.011,
TUPY3,TUPY,ON      NM,135094988,0.059,
UGPA3,ULTRAPAR,ON      NM,2168674032,0.694,
UCAS3,UNICASA,ON      NM,57016876,0.006,
FIQE3,UNIFIQUE,ON      NM,202198926,0.031,
USIM3,USIMINAS,ON      N1,161021803,0.052,
USIM5,USIMINAS,PNA     N1,514680651,0.168,
VALE3,VALE,ON      NM,9529760091,18.611,
VLID3,VALID,ON      NM,156538460,0.029,
VAMO3,VAMOS,ON      NM,401459840,0.144,
VIIA3,VIA,ON      NM,3191791170,0.616,
VITT3,VITTIA,ON      NM,88837210,0.019,
VIVA3,VIVARA S.A.,ON      NM,198893718,0.138,
VVEO3,VIVEO,ON      NM,231360984,0.128,
VULC3,VULCABRAS,ON      NM,147532782,0.031,
LVTC3,WDC NETWORKS,ON      NM,38800000,0.020,
WEGE3,WEG,ON      NM,2969718060,2.631,
WEST3,WESTWING,ON      NM,217053820,0.028,
WIZS3,WIZ S.A.,ON      NM,155081456,0.046,
YDUQ3,YDUQS PART,ON      NM,601666244,0.333,
Total Theorethical Quantity,,,188961983682,100.000
Reductor,,,240000333.22602778
